Occurrences,Rank,Lemma,POS,SAMER  Avg,MSA-DA,Class,Syllable Count,MSA-DA Score,Rank Score,Class Score,Compound Score,BAREC Level E1,numeric barec level
"335,409",1,فِي,prep,1,D=,Closed,1,1,1,1,9,أ,1
"270,096",2,مِنْ,prep,1,D=,Closed,1,1,1,1,9,أ,1
"181,283",3,أَنَّ,conj_sub,2,D~,Closed,1,2,1,1,18,و,6
"178,560",4,عَلَى,prep,1,D=,Closed,2,1,1,1,10,ب,2
"157,818",5,إِلَى,prep,1,D~,Closed,2,2,1,1,11,ج,3
"118,356",6,كَان,verb,1,D=,Closed,2,1,1,1,10,ب,2
"102,603",7,قَال,verb,1,D~,Open,2,2,1,2,12,ج,3
"99,163",8,هَٰذَا,pron_dem,1,D~,Closed,2,2,1,1,11,ج,3
"94,906",9,الَّذِي,pron_rel,3,MSA,Closed,3,4,1,1,34,ل,12
"78,047",10,لَا,interj,1,D~,Closed,1,2,1,1,10,ب,2
"73,893",11,أَنْ,conj_sub,2,MSA,Closed,1,4,1,1,22,ح,8
"72,000",12,مَا,pron_rel,3,MSA,Closed,1,4,1,1,32,ك,11
"66,422",13,ذَٰلِكَ,pron_dem,2,MSA,Closed,3,4,1,1,24,ط,9
"66,261",14,لِ,prep,1,D~,Closed,1,2,1,1,10,ب,2
"62,058",15,عَنْ,prep,1,D=,Closed,1,1,1,1,9,أ,1
"59,640",16,قَدْ,part_verb,3,MSA,Closed,1,4,1,1,32,ك,11
"50,479",17,لَمْ,part_neg,2,MSA,Closed,1,4,1,1,22,ح,8
"41,655",18,مَع,noun,1,D=,Closed,1,1,1,1,9,أ,1
"40,667",19,هُوَ,pron,1,D~,Closed,2,2,1,1,11,ج,3
"36,166",20,بِ,prep,1,D=,Closed,1,1,1,1,9,أ,1
"34,796",21,كُلّ,noun_quant,1,D=,Closed,1,1,1,1,9,أ,1
"33,605",22,إِنَّ,verb_pseudo,3,MSA,Closed,2,4,1,1,33,ل,12
"32,297",23,بَيْن,noun,1,D~,Closed,1,2,1,1,10,ب,2
"31,706",24,بَعْد,noun,1,D=,Closed,1,1,1,1,9,أ,1
"29,980",25,رَأَى,verb,1,MSA,Open,2,4,1,2,14,د,4
"26,582",26,يَوْم,noun,1,D=,Open,1,1,1,2,10,ب,2
"26,093",27,أَوْ,conj,1,D=,Closed,1,1,1,1,9,أ,1
"25,648",28,يَا,part_voc,1,D=,Closed,1,1,1,1,9,أ,1
"24,817",29,ثُمَّ,conj,2,MSA,Closed,2,4,1,1,23,ط,9
"24,663",30,لَٰكِنْ,conj,2,MSA,Closed,3,4,1,1,24,ط,9
"24,622",31,نَفْس,noun,1,D=,Open,1,1,1,2,10,ب,2
"24,472",32,رَئِيس,noun,1,D~,Open,2,2,1,2,12,ج,3
"23,327",33,إِذَاً,adv,1,D~,Closed,2,2,1,1,11,ج,3
"23,285",34,هِيَ,pron,1,D~,Closed,2,2,1,1,11,ج,3
"20,568",35,أَمْر,noun,2,D~,Open,1,2,1,2,20,ز,7
"20,053",36,أَوَّل,adj_num,1,D=,Closed,2,1,1,1,10,ب,2
"19,921",37,غَيْر,noun,2,D=,Closed,1,1,1,1,16,ه,5
"18,621",38,رَجُل,noun,1,D~,Open,1,2,1,2,11,ج,3
"17,389",39,عِنْد,noun,1,D=,Closed,1,1,1,1,9,أ,1
"15,973",40,عَام,noun,2,MSA,Open,1,4,1,2,24,ط,9
"15,410",41,دَوْلَة,noun,1,D~,Open,2,2,1,2,12,ج,3
"14,757",42,شَيْء,noun,1,D~,Open,1,2,1,2,11,ج,3
"14,736",43,يَد,noun,1,D~,Open,1,2,1,2,11,ج,3
"14,632",44,عَمَل,noun,1,MSA,Open,2,4,1,2,14,د,4
"14,559",45,إِلَّا,prep,1,D=,Closed,2,1,1,1,10,ب,2
"14,558",46,إِنْ,conj_sub,2,MSA,Closed,1,4,1,1,22,ح,8
"14,076",47,عَرَف,verb,1,D~,Open,3,2,1,2,13,د,4
"14,071",48,عَاد,verb,1,MSA,Open,2,4,1,2,14,د,4
"13,644",49,عَدَد,noun,1,D~,Open,2,2,1,2,12,ج,3
"13,592",50,بَعْض,noun_quant,1,MSA,Closed,1,4,1,1,12,ج,3
"13,228",51,أَرَاد,verb,1,MSA,Open,3,4,1,2,15,ه,5
"13,080",52,وَزِير,noun,3,D=,Open,2,1,1,2,27,ي,10
"13,062",53,لَا,interj,1,MSA,Closed,1,4,1,1,12,ج,3
"13,013",54,أَحَد,noun,1,D~,Open,2,2,1,2,12,ج,3
"12,810",55,قُوَّة,noun,1,D~,Open,2,2,1,2,12,ج,3
"12,518",56,سَنَة,noun,1,D=,Open,2,1,1,2,11,ج,3
"12,281",57,لَيْسَ,verb,1,MSA,Closed,2,4,1,1,13,د,4
"12,273",58,قَبْل,noun,1,D~,Closed,1,2,1,1,10,ب,2
"11,824",59,ٱِبْن,noun,1,D=,Open,1,1,1,2,10,ب,2
"11,720",60,خِلَال,noun,2,MSA,Closed,2,4,1,1,23,ط,9
"11,719",61,أَنَا,pron,1,D=,Closed,2,1,1,1,10,ب,2
"11,653",62,آن,noun,4,MSA,Open,1,4,1,2,46,ن,14
"11,469",63,تَمّ,verb,3,MSA,Open,2,4,1,2,36,ل,12
"11,194",64,ثَانِي,adj_num,1,D~,Closed,2,2,1,1,11,ج,3
"11,063",65,مَجْلِس,noun,4,D=,Open,2,1,1,2,35,ل,12
"10,909",66,بَلَد,noun,1,D=,Open,2,1,1,2,11,ج,3
"10,745",67,آخَر,adj_comp,1,MSA,Open,2,4,1,2,14,د,4
"10,729",68,جَدِيد,adj,1,D~,Open,2,2,1,2,12,ج,3
"10,679",69,أَمَّا,part_focus,3,MSA,Closed,2,4,1,1,33,ل,12
"10,661",70,حِين,noun,3,MSA,Closed,1,4,1,1,32,ك,11
"10,494",71,مِثْل,noun,1,D~,Closed,1,2,1,1,10,ب,2
"10,397",72,حَتَّى,conj_sub,1,D=,Closed,2,1,1,1,10,ب,2
"10,385",73,مُنْذُ,prep,2,MSA,Closed,2,4,1,1,23,ط,9
"10,373",74,مَا,pron_rel,3,MSA,Closed,1,4,1,1,32,ك,11
"10,327",75,لَٰكِنْ,conj,2,D=,Closed,2,1,1,1,17,و,6
"10,305",76,وَجَد,verb,1,MSA,Open,3,4,1,2,15,ه,5
"10,283",77,حَيْثُ,adv_rel,3,MSA,Closed,2,4,1,1,33,ل,12
"10,282",78,كَبِير,adj,1,D=,Open,2,1,1,2,11,ج,3
"10,234",79,هَلْ,part_interrog,1,MSA,Closed,1,4,1,1,12,ج,3
"10,206",80,أَيّ,noun_quant,1,D=,Closed,1,1,1,1,9,أ,1
"10,152",81,حَتَّى,prep,1,D=,Closed,2,1,1,1,10,ب,2
"10,030",82,عَلِم,verb,1,MSA,Open,3,4,1,2,15,ه,5
"10,007",83,ٱِسْم,noun,1,D=,Open,1,1,1,2,10,ب,2
"9,951",84,مَا,part_neg,1,D=,Closed,2,1,1,1,10,ب,2
"9,929",85,سَمِع,verb,1,D=,Open,3,1,1,2,12,ج,3
"9,718",86,بَاب,noun,1,D=,Open,1,1,1,2,10,ب,2
"9,718",86,عَيْن,noun,1,D=,Open,1,1,1,2,10,ب,2
"9,710",88,جَمِيع,noun_quant,1,MSA,Closed,2,4,1,1,13,د,4
"9,514",89,حَيَاة,noun,1,D=,Open,2,1,1,2,11,ج,3
"9,493",90,أَمَام,noun,1,MSA,Closed,2,4,1,1,13,د,4
"9,431",91,جَاء,verb,1,D~,Open,2,2,1,2,12,ج,3
"9,397",92,كَثِير,adj,1,D~,Open,2,2,1,2,12,ج,3
"9,338",93,قَلْب,noun,1,D~,Open,1,2,1,2,11,ج,3
"9,318",94,حُكُومَة,noun,2,D=,Open,3,1,1,2,20,ز,7
"9,299",95,هُنَاكَ,adv,1,D~,Closed,3,2,1,1,12,ج,3
"9,160",96,سَاعَة,noun,1,D=,Open,2,1,1,2,11,ج,3
"8,970",97,آخَر,adj_comp,3,MSA,Open,2,4,1,2,36,ل,12
"8,733",98,سَبَب,noun,1,D=,Open,2,1,1,2,11,ج,3
"8,709",99,بَلْ,conj,3,MSA,Closed,1,4,1,1,32,ك,11
"8,700",100,وَاحِد,noun_num,1,D=,Closed,2,1,1,1,10,ب,2
"8,646",101,حَوَّل,verb,1,MSA,Closed,1,4,1,1,12,ج,3
"8,602",102,طَرِيق,noun,1,D=,Open,2,1,1,2,11,ج,3
"8,581",103,مِنْطَقَة,noun,2,D=,Open,3,1,1,2,20,ز,7
"8,575",104,دَخَل,verb,1,MSA,Open,3,4,1,2,15,ه,5
"8,489",105,مَدِينَة,noun,1,D=,Open,3,1,1,2,12,ج,3
"8,446",106,أَكْثَر,adj_comp,1,D~,Open,2,2,1,2,12,ج,3
"8,396",107,ذَهَب,verb,1,MSA,Open,3,4,1,2,15,ه,5
"8,387",108,جَانِب,noun,2,D~,Open,2,2,1,2,21,ح,8
