,Occurrences,Hindawi (5594310),Giga (5594256),lemma#pos,Gloss,Answer1 - Egyptian,Answer2 - Syrian,Answer3 - Saudi Arabian,readability (rounded average),lemma,pos,4,12,6,13,10,14,11,8,7,2,5,15,9,3,17,16,19,18,1,First_Level,Total,Levels,First_Level_Margin_0.01,First_Level_Margin_0.02,samerMSADA
0,335409,42.36%,57.64%,فِي#prep,in,1,1,1,1,فِي,prep,101,5422,118,1602,2532,6384,1921,833,494,0,185,1588,333,3,234,604,13,22,0,3,22376.0,16.0,6.0,7.0,1
1,270096,52.75%,47.25%,مِن#prep,from,1,1,1,1,مِن,prep,59,4562,88,1514,2107,5148,1497,641,481,1,123,1240,303,3,225,478,12,11,0,2,18481.0,17.0,6.0,7.0,1
2,181283,54.76%,45.24%,أَنَّ#conj_sub,that,3,2,2,2,أَنَّ,conj_sub,4,2691,75,1177,1968,2677,879,340,170,0,23,737,157,1,116,257,4,21,0,3,11293.0,16.0,7.0,8.0,2
3,178560,53.24%,46.76%,عَلَى#prep,on;above#on_+_what/which,1,1,1,1,عَلَى,prep,39,3068,58,1038,1438,3502,1052,434,241,0,72,842,170,2,118,295,11,20,0,3,12389.0,16.0,7.0,8.0,1
4,157818,61.21%,38.79%,إِلَى#prep,to;towards,1,1,1,1,إِلَى,prep,37,1744,42,651,786,2009,577,394,196,1,47,525,133,2,73,188,3,14,0,2,7419.0,17.0,6.0,7.0,1
5,118356,68.52%,31.48%,كان#verb,be#if;whether_+_was;were,1,1,2,1,كان,verb,0,1953,2,898,2009,1686,699,62,7,0,0,478,29,0,66,202,0,10,0,6,8101.0,13.0,10.0,10.0,1
6,102603,78.35%,21.65%,قال#verb,say#said#be_said#say;(for_example),1,1,1,1,قال,verb,3,728,108,296,609,468,189,274,88,0,20,135,175,3,13,32,6,4,0,3,3145.0,16.0,6.0,6.0,1
7,99163,61.76%,38.24%,هٰذا#pron_dem,this/these#this_[masc.sg.]#these#these_two_[masc.du.]#these_two_[fem.du.],2,1,1,1,هٰذا,pron_dem,9,1291,44,478,831,1290,460,395,216,3,84,371,156,25,64,156,1,0,0,2,5873.0,16.0,5.0,6.0,1
8,94906,33.61%,66.39%,الَّذِي#pron_rel,which;who;whom_[masc.sg.]#who;whom_[fem.pl.]#which;who;whom_[fem.sg.]#to/for_+_which;who;whom_[masc.sg.]#with/by_+_which;who;whom_[masc.sg.]#who;whom_[pl.]#as/like_+_which;who;whom_[masc.sg.]#which;who;whom_[du.]#to/for_+_those_(people)_who/whom_[pl.]#which;who;whom_[fem.du.]#with/by_+_which;who;whom_[fem.sg.]#as/like_+_which;who;whom_[fem.sg.]#with/by_+_those_(people)_who/whom_[pl.]#to/for_+_which;who;whom_[fem.sg.]#as/like_+_those_(people)_who/whom_[pl.],3,2,3,3,الَّذِي,pron_rel,0,1623,0,509,1181,2362,575,10,2,0,3,576,9,0,105,264,4,9,0,5,7228.0,13.0,10.0,10.0,3
9,78047,76.27%,23.73%,لا#part_neg,no;not;non-#with_+_no_(without)#does;do;are;is_+_no;not#is;are_+_so;and_+_no;not,1,2,1,1,لا,part_neg,0,1073,2,424,504,843,307,486,13,0,1,237,110,1,42,105,4,8,0,3,4156.0,15.0,8.0,8.0,1
10,73893,66.02%,33.98%,أَنْ#conj_sub,"That,_to#with_+_that#for/in_order_+_to",2,2,2,2,أَنْ,conj_sub,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,12,6.0,4.0,12.0,12.0,2
11,72000,70.32%,29.68%,ما#pron_rel,what/which#why/for_+_what#with_+_what,3,2,3,3,ما,pron_rel,1,782,4,319,642,909,217,94,26,0,9,273,40,0,47,103,5,6,0,4,3472.0,15.0,8.0,8.0,3
12,66422,70.65%,29.35%,ذٰلِكَ#pron_dem,that,2,2,2,2,ذٰلِكَ,pron_dem,1,804,16,332,465,923,261,172,47,0,15,256,40,4,45,111,3,5,0,3,3497.0,16.0,7.0,8.0,2
