,Lemma,POS,4,12,6,13,10,14,11,8,7,2,5,15,9,3,17,16,19,18,1,First_Level,Total,Levels,First_Level_Margin_0.01,First_Level_Margin_0.02
0,جَفّ,verb,1,6,1,3,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,4,23.0,9.0,4.0,4.0
1,نَهْر,noun,3,84,3,9,24,76,22,18,18,1,4,8,2,1,0,0,0,0,0,2,273.0,14.0,4.0,6.0
2,كِتاب,noun,3,235,3,47,131,257,110,43,37,1,3,107,22,6,12,39,3,1,0,2,1057.0,17.0,6.0,7.0
3,اللّٰه,noun_prop,14,1051,41,314,303,721,197,124,82,2,25,136,65,12,13,15,2,1,1,1,3117.0,18.0,6.0,7.0
4,تَعالَى,verb,1,159,5,45,38,132,51,22,29,0,3,7,13,0,0,2,0,0,0,4,507.0,13.0,7.0,7.0
5,",",punc,20,8932,168,3465,4186,9515,2758,1493,554,2,164,2417,553,21,406,1077,2,27,1,1,35759.0,18.0,7.0,8.0
6,مِن,prep,59,4562,88,1514,2107,5148,1497,641,481,1,123,1240,303,3,225,478,12,11,0,2,18481.0,17.0,6.0,7.0
7,ما,pron_rel,1,782,4,319,642,909,217,94,26,0,9,273,40,0,47,103,5,6,0,4,3472.0,15.0,8.0,8.0
8,هُوَ,pron,2,682,27,233,404,782,261,116,47,0,39,214,58,12,29,94,1,2,0,3,3002.0,16.0,5.0,7.0
9,قال,verb,3,728,108,296,609,468,189,274,88,0,20,135,175,3,13,32,6,4,0,3,3145.0,16.0,6.0,6.0
10,عِنْد,noun,1,456,6,162,226,374,171,74,84,0,2,89,40,0,18,31,1,1,0,4,1735.0,15.0,7.0,7.0
11,عَلَى,prep,39,3068,58,1038,1438,3502,1052,434,241,0,72,842,170,2,118,295,11,20,0,3,12389.0,16.0,7.0,8.0
12,(,punc,80,5217,227,1415,2410,5834,1697,538,820,8,382,1088,322,50,165,325,7,21,2,1,20601.0,18.0,5.0,6.0
13,),punc,80,5215,228,1411,2413,5816,1694,537,821,8,381,1088,320,50,165,326,7,21,2,1,20576.0,18.0,5.0,6.0
14,سَلَّم,verb,2,198,8,43,44,113,43,24,7,0,1,22,7,0,2,2,0,0,1,1,517.0,15.0,6.0,7.0
15,مُسْلِم,noun,3,103,6,20,42,108,24,15,8,0,3,20,6,3,1,2,0,0,0,3,364.0,15.0,5.0,6.0
16,يَد,noun,2,147,2,71,77,90,54,30,26,0,3,36,13,1,8,13,0,1,0,3,574.0,16.0,6.0,7.0
17,إِذْ,conj_sub,1,89,1,52,27,101,27,5,2,0,0,24,3,0,4,15,1,0,0,4,351.0,13.0,8.0,9.0
18,ذِي,noun_prop,1,17,0,0,0,9,0,0,1,0,0,5,0,0,2,0,0,1,0,4,36.0,7.0,4.0,4.0
19,لَذِيذ,adj,1,8,2,2,9,1,5,1,6,1,5,0,2,2,2,0,0,0,0,2,47.0,14.0,2.0,2.0
20,مَطْعَم,noun,2,24,0,6,9,10,5,5,7,0,2,0,4,0,1,0,0,0,0,4,75.0,11.0,4.0,4.0
21,أَراد,verb,4,132,14,65,125,57,50,67,45,0,36,16,21,4,3,8,0,0,1,1,648.0,16.0,5.0,5.0
22,أَنَّ,conj_sub,4,2691,75,1177,1968,2677,879,340,170,0,23,737,157,1,116,257,4,21,0,3,11293.0,16.0,7.0,8.0
23,.,punc,246,8787,603,2526,6181,7760,3101,3035,2062,83,727,1543,1161,295,191,596,3,3,44,1,38944.0,18.0,4.0,6.0
24,بَحَث,verb,3,45,1,17,33,31,14,20,8,0,4,5,3,0,1,3,0,0,0,4,188.0,14.0,4.0,5.0
25,فِي,prep,101,5422,118,1602,2532,6384,1921,833,494,0,185,1588,333,3,234,604,13,22,0,3,22376.0,16.0,6.0,7.0
26,مَكْتَبَة,noun,3,22,1,5,9,10,4,7,9,0,0,3,3,3,0,1,0,0,0,3,80.0,13.0,3.0,3.0
27,صَفّ,noun,1,26,2,6,17,20,8,5,7,1,5,4,2,0,1,1,0,0,0,2,106.0,15.0,5.0,5.0
28,عَن,prep,9,998,18,385,490,1123,321,173,91,0,25,298,57,1,37,114,3,1,0,3,4141.0,16.0,7.0,7.0
29,ٱِسْم,noun,4,256,9,63,175,231,103,43,52,9,18,52,7,13,15,12,0,0,1,1,1063.0,17.0,3.0,4.0
30,حَيَوان,noun,1,107,8,18,82,86,45,29,21,1,14,6,3,2,0,11,0,0,0,2,434.0,15.0,5.0,5.0
31,قُرْآن,noun_prop,1,102,5,39,44,95,27,10,16,0,4,11,7,3,1,0,0,0,0,3,365.0,14.0,5.0,6.0
32,كَرِيم,adj,1,135,5,40,49,92,42,31,21,0,9,21,8,3,0,0,0,0,0,3,457.0,13.0,5.0,6.0
33,تَحَدَّث,verb,1,47,2,14,49,38,17,20,9,0,5,10,4,0,2,4,0,0,0,4,222.0,14.0,5.0,5.0
34,أَمام,noun,1,129,1,48,90,119,49,21,37,0,1,26,9,0,14,8,0,2,0,4,555.0,15.0,7.0,7.0
35,زَمِيل,noun,1,50,4,13,46,16,30,22,32,0,3,2,16,1,1,1,0,0,0,3,238.0,15.0,5.0,6.0
36,يَوْم,noun,2,422,17,114,245,384,162,100,76,1,19,75,28,4,9,20,2,2,0,2,1680.0,17.0,5.0,7.0
37,12,digit,2,46,0,21,8,11,10,3,4,0,3,1,1,1,0,1,0,0,0,3,112.0,13.0,4.0,5.0
38,سَبْع,noun_num,1,47,0,4,23,41,14,4,9,0,3,7,5,1,0,2,0,0,0,3,161.0,13.0,5.0,6.0
39,آخَر,adj,4,232,5,79,121,157,68,53,17,0,9,35,10,0,8,15,1,0,0,4,813.0,14.0,5.0,7.0
40,رَجَع,verb,2,38,1,20,13,54,12,13,6,0,1,19,2,0,0,3,1,1,0,4,185.0,14.0,4.0,7.0
41,إِلَى,prep,37,1744,42,651,786,2009,577,394,196,1,47,525,133,2,73,188,3,14,0,2,7419.0,17.0,6.0,7.0
42,أَخْضَر,adj,2,46,3,9,29,26,22,9,8,1,5,8,1,5,0,0,0,0,0,2,174.0,14.0,3.0,3.0
43,مُتَّحِد,adj,1,92,7,15,45,194,44,8,10,0,6,30,8,0,6,8,0,0,0,4,474.0,14.0,5.0,7.0
44,مِئَة,noun_num,2,68,1,15,28,44,19,16,6,0,3,12,2,0,2,4,0,0,0,4,222.0,14.0,5.0,6.0
45,أَلْف,noun_num,1,123,1,13,30,71,27,25,4,0,2,13,4,0,0,7,0,0,0,4,321.0,13.0,7.0,8.0
46,شَخْص,noun,1,133,0,36,72,106,49,14,8,0,3,20,8,0,4,5,0,1,0,4,460.0,14.0,7.0,8.0
47,ذٰلِكَ,pron_dem,1,804,16,332,465,923,261,172,47,0,15,256,40,4,45,111,3,5,0,3,3497.0,16.0,7.0,8.0
